2025-01-12 14:24:15,803 - epoch: 15 AUC: 0.8932574176697392 AUPR: 0.9026729242011458 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.01, 'svd_q': 7, 'temp': 9}
2025-01-12 14:24:18,875 - epoch: 25 AUC: 0.9001948563452689 AUPR: 0.9085678593895079 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.01, 'svd_q': 9, 'temp': 1}
2025-01-12 14:24:50,181 - epoch: 85 AUC: 0.90300714473266 AUPR: 0.9098923103183327 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.001, 'svd_q': 5, 'temp': 1}
2025-01-12 14:25:46,435 - epoch: 15 AUC: 0.9049902571827366 AUPR: 0.9099515493728565 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 0.0001, 'lr': 0.01, 'svd_q': 3, 'temp': 7}
2025-01-12 14:25:52,428 - epoch: 30 AUC: 0.902602921463219 AUPR: 0.9126317404456712 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 0.0001, 'lr': 0.01, 'svd_q': 5, 'temp': 1}
2025-01-12 14:26:30,235 - epoch: 25 AUC: 0.903749948176504 AUPR: 0.9119568690281905 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 0.0001, 'lr': 0.01, 'svd_q': 9, 'temp': 5}
2025-01-12 14:35:19,801 - epoch: 115 AUC: 0.900780461850997 AUPR: 0.9168753406136271 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.001, 'lambda_2': 0.0001, 'lr': 0.001, 'svd_q': 5, 'temp': 5}
2025-01-12 14:44:16,308 - epoch: 110 AUC: 0.9056397783336327 AUPR: 0.9164563760753915 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.01, 'lambda_2': 0.001, 'lr': 0.01, 'svd_q': 3, 'temp': 1}
2025-01-12 15:45:29,423 - epoch: 45 AUC: 0.9037084893796382 AUPR: 0.9186982384435316 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 5, 'lambda_1': 0.1, 'lambda_2': 0.001, 'lr': 0.01, 'svd_q': 7, 'temp': 9}
2025-01-12 16:54:46,295 - epoch: 45 AUC: 0.9033802739044513 AUPR: 0.9190203057028481 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 120, 'l': 5, 'lambda_1': 0.1, 'lambda_2': 0.001, 'lr': 0.01, 'svd_q': 3, 'temp': 7}
2025-01-13 02:41:46,766 - epoch: 90 AUC: 0.9059576291096032 AUPR: 0.9233380363965159 params: {'batch_user': 128, 'd': 64, 'dropout': 0.0, 'epoch_no': 120, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.001, 'svd_q': 7, 'temp': 5}
2025-01-13 17:56:32,148 - epoch: 75 AUC: 0.9043821948287061 AUPR: 0.9249862414937555 params: {'batch_user': 128, 'd': 128, 'dropout': 0.0, 'epoch_no': 120, 'l': 4, 'lambda_1': 0.01, 'lambda_2': 0.0001, 'lr': 0.001, 'svd_q': 7, 'temp': 3}
2025-01-13 18:52:39,773 - epoch: 80 AUC: 0.9110570611240861 AUPR: 0.9224421848052964 params: {'batch_user': 128, 'd': 128, 'dropout': 0.0, 'epoch_no': 120, 'l': 4, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.001, 'svd_q': 9, 'temp': 9}
2025-01-13 21:00:23,915 - epoch: 90 AUC: 0.9139246279072982 AUPR: 0.9295915366854977 params: {'batch_user': 128, 'd': 128, 'dropout': 0.1, 'epoch_no': 120, 'l': 5, 'lambda_1': 0.0001, 'lambda_2': 0.0001, 'lr': 0.001, 'svd_q': 7, 'temp': 7}
---- lr=0.001
2025-01-20 23:22:20,248 - n: 1 epoch: 665 AUC: 0.889633227843728 AUPR: 0.8924318994459531 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.0001, 'svd_q': 3, 'temp': 1}
2025-01-20 23:22:38,091 - n: 2 epoch: 530 AUC: 0.8914159561089536 AUPR: 0.8952463125931513 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.0001, 'svd_q': 3, 'temp': 3}
2025-01-20 23:22:56,119 - n: 3 epoch: 570 AUC: 0.8961284393526899 AUPR: 0.9020275407421939 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.0001, 'svd_q': 3, 'temp': 5}
2025-01-20 23:23:38,749 - n: 20 epoch: 660 AUC: 0.8986366965630657 AUPR: 0.9132770560682105 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.0001, 'svd_q': 9, 'temp': 9}
2025-01-20 23:26:13,098 - n: 14 epoch: 475 AUC: 0.8965706665192574 AUPR: 0.9086189134459666 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 1e-05, 'lr': 0.0001, 'svd_q': 7, 'temp': 7}
2025-01-20 23:27:42,044 - n: 36 epoch: 625 AUC: 0.9026063763629579 AUPR: 0.9117088470353217 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.0001, 'lambda_2': 0.0001, 'lr': 0.0001, 'svd_q': 9, 'temp': 1}
2025-01-20 23:41:17,081 - n: 82 epoch: 570 AUC: 0.9015560868423599 AUPR: 0.9216969269724558 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.001, 'lambda_2': 1e-05, 'lr': 0.0001, 'svd_q': 3, 'temp': 3}
2025-01-20 23:54:47,605 - n: 110 epoch: 670 AUC: 0.8984881358742969 AUPR: 0.9088022041064219 params: {'batch_user': 128, 'd': 32, 'dropout': 0.0, 'epoch_no': 700, 'l': 2, 'lambda_1': 0.001, 'lambda_2': 0.0001, 'lr': 0.0001, 'svd_q': 5, 'temp': 9}
